Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0.75,0.8466,0.75,0.75,0.7321,0.6975,0.7155
0.6364,0.0,0.6364,0.7,0.6273,0.5368,0.5613
0.8182,0.0,0.8182,0.7727,0.7879,0.7609,0.7693
0.9091,0.0,0.9091,0.9091,0.9091,0.8817,0.8913
0.9091,0.0,0.9091,0.9545,0.9177,0.8842,0.8938
0.7273,0.0,0.7273,0.7273,0.7169,0.6562,0.6632
0.7273,0.0,0.7273,0.5714,0.6281,0.6207,0.6856
0.5455,0.0,0.5455,0.6364,0.5758,0.4271,0.4316
0.9091,0.0,0.9091,0.9545,0.9091,0.8842,0.8936
0.6364,0.8,0.6364,0.6667,0.6299,0.5556,0.579
0.7568,0.1647,0.7568,0.7643,0.7434,0.6905,0.7084
0.122,0.3295,0.122,0.1274,0.1249,0.1529,0.1495
