Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0.5833,0.7386,0.5833,0.5333,0.5556,0.469,0.4872
0.7273,0.0,0.7273,0.7576,0.7182,0.6633,0.6842
0.8182,0.0,0.8182,0.9394,0.8333,0.7755,0.8087
0.7273,0.0,0.7273,0.6818,0.697,0.6413,0.6484
0.7273,0.0,0.7273,0.7273,0.7078,0.6526,0.6739
0.6364,0.0,0.6364,0.5364,0.5758,0.5217,0.5339
0.5455,0.0,0.5455,0.5303,0.5281,0.433,0.4376
0.7273,0.0,0.7273,0.5714,0.6281,0.6207,0.6856
0.7273,0.0,0.7273,0.6727,0.697,0.6413,0.6487
0.6364,0.7786,0.6364,0.6212,0.5909,0.5686,0.598
0.6856,0.1517,0.6856,0.6571,0.6532,0.5987,0.6206
0.0782,0.3036,0.0782,0.1225,0.089,0.0967,0.1036
