Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0.75,0.8295,0.75,0.7417,0.7222,0.6842,0.6969
0.7273,0.8071,0.7273,0.6727,0.697,0.6452,0.6528
0.6364,0.8,0.6364,0.8409,0.6364,0.581,0.6354
0.9091,0.9286,0.9091,0.8364,0.8687,0.8817,0.8921
0.6364,0.0,0.6364,0.5818,0.6061,0.5269,0.5388
0.7273,0.0,0.7273,0.7273,0.7152,0.6633,0.6701
0.7273,0.0,0.7273,0.6061,0.6545,0.6207,0.6617
0.7273,0.0,0.7273,0.7273,0.7273,0.6489,0.6704
0.8182,0.0,0.8182,0.8182,0.8182,0.7609,0.7609
0.8182,0.0,0.8182,0.8485,0.8121,0.7684,0.785
0.7477,0.3365,0.7477,0.7401,0.7258,0.6781,0.6964
0.079,0.4134,0.079,0.0923,0.0805,0.0971,0.0913
