Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0.9167,0.9545,0.9167,0.875,0.8889,0.8966,0.9044
0.7273,0.0,0.7273,0.8,0.7258,0.6562,0.6854
0.9091,0.0,0.9091,0.8364,0.8687,0.8764,0.8873
0.7273,0.0,0.7273,0.7197,0.7143,0.6452,0.6522
0.4545,0.0,0.4545,0.6136,0.4242,0.3529,0.3956
1.0,0.0,1.0,1.0,1.0,1.0,1.0
0.9091,0.0,0.9091,0.9273,0.899,0.8804,0.8906
0.6364,0.0,0.6364,0.4545,0.5152,0.4762,0.5721
0.7273,0.0,0.7273,0.5714,0.6281,0.6207,0.6856
0.8182,0.8786,0.8182,0.7,0.7475,0.7634,0.7814
0.7826,0.1833,0.7826,0.7498,0.7412,0.7168,0.7455
0.1538,0.367,0.1538,0.1615,0.1718,0.1937,0.1734
