Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0.6667,0.7841,0.6667,0.625,0.6389,0.5862,0.5913
0.7273,0.0,0.7273,0.6667,0.6805,0.6526,0.6667
0.5455,0.0,0.5455,0.5636,0.5152,0.4388,0.4951
0.7273,0.0,0.7273,0.7879,0.7532,0.6526,0.6597
0.7273,0.0,0.7273,0.6727,0.697,0.6292,0.637
0.6364,0.0,0.6364,0.6545,0.6323,0.5165,0.5284
0.7273,0.0,0.7273,0.7273,0.7273,0.6489,0.6489
0.7273,0.0,0.7273,0.6061,0.6545,0.6333,0.6657
0.8182,0.0,0.8182,0.8182,0.8182,0.766,0.766
0.7273,0.8389,0.7273,0.7879,0.7394,0.67,0.6768
0.703,0.1623,0.703,0.691,0.6856,0.6194,0.6336
0.0688,0.3248,0.0688,0.0814,0.0787,0.0847,0.0738
