Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0.75,0.8295,0.75,0.6389,0.6833,0.6667,0.6882
0.8182,0.0,0.8182,0.8182,0.8182,0.7609,0.7609
0.5455,0.0,0.5455,0.8636,0.6061,0.4712,0.5109
0.7273,0.0,0.7273,0.7424,0.7229,0.6598,0.6668
0.7273,0.0,0.7273,0.6667,0.6909,0.6452,0.6523
0.7273,0.0,0.7273,0.7576,0.7351,0.6562,0.6632
0.8182,0.0,0.8182,0.8182,0.8182,0.766,0.766
0.7273,0.0,0.7273,0.6727,0.697,0.6413,0.6487
0.7273,0.0,0.7273,0.697,0.6926,0.6598,0.6737
0.7273,0.825,0.7273,0.6818,0.7013,0.6562,0.6635
0.7295,0.1655,0.7295,0.7357,0.7166,0.6583,0.6694
0.0707,0.3309,0.0707,0.0728,0.0602,0.0759,0.0663
