Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0.8333,0.0,0.8333,0.8611,0.8278,0.7895,0.7965
0.5455,0.0,0.5455,0.5455,0.5455,0.3956,0.4
1.0,0.0,1.0,1.0,1.0,1.0,1.0
0.9091,0.0,0.9091,0.9545,0.9177,0.8842,0.8938
0.7273,0.0,0.7273,0.8939,0.7359,0.6667,0.7023
0.7273,0.823,0.7273,0.6212,0.6606,0.6526,0.667
0.7273,0.85,0.7273,0.8485,0.7424,0.6765,0.7042
0.6364,0.7357,0.6364,0.5455,0.5818,0.5111,0.5316
0.8182,0.8571,0.8182,0.697,0.7455,0.7556,0.7858
0.6364,0.0,0.6364,0.7273,0.6667,0.5686,0.5859
0.7561,0.3266,0.7561,0.7694,0.7424,0.69,0.7067
0.1297,0.4012,0.1297,0.1571,0.1347,0.1684,0.1662
