Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0.75,0.8466,0.75,0.7778,0.7361,0.6923,0.7106
0.5455,0.0,0.5455,0.5091,0.5253,0.3956,0.4004
0.4545,0.0,0.4545,0.3697,0.4061,0.2747,0.2813
0.9091,0.0,0.9091,0.9545,0.9091,0.8842,0.8936
0.5455,0.0,0.5455,0.5909,0.5212,0.4554,0.4796
0.6364,0.0,0.6364,0.7273,0.6667,0.5556,0.5734
0.9091,0.0,0.9091,0.9545,0.9177,0.8842,0.8938
0.9091,0.0,0.9091,0.8409,0.8701,0.883,0.8929
0.7273,0.0,0.7273,0.8636,0.7662,0.6633,0.6772
0.8182,0.8571,0.8182,0.697,0.7455,0.7556,0.7858
0.7205,0.1704,0.7205,0.7285,0.7064,0.6444,0.6589
0.1601,0.3408,0.1601,0.1823,0.1666,0.2071,0.2081
