Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0.5833,0.7295,0.5833,0.45,0.5,0.469,0.4921
0.8182,0.0,0.8182,0.8485,0.8121,0.766,0.7742
0.5455,0.0,0.5455,0.5455,0.5455,0.433,0.4468
0.7273,0.0,0.7273,0.5455,0.6182,0.6292,0.6714
0.7273,0.0,0.7273,0.7273,0.7169,0.6562,0.6632
0.7273,0.0,0.7273,0.8182,0.7381,0.6633,0.6842
0.8182,0.0,0.8182,0.9091,0.8571,0.7708,0.7793
0.8182,0.0,0.8182,0.697,0.7455,0.7442,0.7757
0.5455,0.0,0.5455,0.5,0.5,0.4086,0.4272
0.8182,0.8875,0.8182,0.7727,0.7879,0.7755,0.7835
0.7129,0.1617,0.7129,0.6814,0.6821,0.6316,0.6498
0.1085,0.3253,0.1085,0.1525,0.125,0.1371,0.1354
