Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0.8333,0.0,0.8333,0.7042,0.7606,0.7757,0.7922
0.7273,0.0,0.7273,0.8636,0.7576,0.6598,0.6815
0.7273,0.0,0.7273,0.9091,0.8026,0.6598,0.6815
0.7273,0.0,0.7273,0.6182,0.6591,0.6452,0.6682
0.7273,0.0,0.7273,0.7273,0.7273,0.6489,0.6489
0.4545,0.0,0.4545,0.4848,0.4675,0.3333,0.3438
0.8182,0.8786,0.8182,0.8182,0.8182,0.7708,0.7708
0.9091,0.9286,0.9091,0.8364,0.8687,0.8817,0.8921
0.7273,0.85,0.7273,0.8182,0.7273,0.6765,0.6973
0.6364,0.7571,0.6364,0.5909,0.6061,0.5417,0.5474
0.7288,0.3414,0.7288,0.7371,0.7195,0.6593,0.6724
0.1163,0.42,0.1163,0.13,0.1105,0.1401,0.1405
