Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0.6667,0.7795,0.6667,0.6167,0.6389,0.5752,0.5807
0.9091,0.0,0.9091,0.8364,0.8687,0.8791,0.8898
0.6364,0.0,0.6364,0.6364,0.6121,0.5056,0.5255
0.7273,0.0,0.7273,0.7273,0.7169,0.6562,0.6632
0.8182,0.0,0.8182,0.9091,0.8485,0.7708,0.779
0.5455,0.0,0.5455,0.5,0.5152,0.4022,0.4112
0.8182,0.0,0.8182,0.7727,0.7879,0.7609,0.7693
0.6364,0.0,0.6364,0.7727,0.6667,0.551,0.5807
0.7273,0.0,0.7273,0.7273,0.7273,0.6413,0.6484
0.5455,0.7139,0.5455,0.5,0.5152,0.45,0.4546
0.703,0.1493,0.703,0.6998,0.6897,0.6192,0.6302
0.114,0.299,0.114,0.1286,0.1179,0.1441,0.1432
