Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0.75,0.8295,0.75,0.825,0.75,0.687,0.6994
0.7273,0.0,0.7273,0.6515,0.6606,0.625,0.6578
0.6364,0.0,0.6364,0.5227,0.5671,0.5111,0.5233
0.9091,0.0,0.9091,0.9545,0.9177,0.8842,0.8938
0.6364,0.0,0.6364,0.6591,0.6277,0.5417,0.5592
0.7273,0.0,0.7273,0.6818,0.697,0.6489,0.656
0.7273,0.0,0.7273,0.7273,0.7169,0.6562,0.6632
0.6364,0.7639,0.6364,0.4667,0.5318,0.5417,0.5674
0.7273,0.0,0.7273,0.7532,0.6887,0.6207,0.6754
0.5455,0.0,0.5455,0.5152,0.5273,0.4149,0.424
0.7023,0.1593,0.7023,0.6757,0.6685,0.6131,0.6319
0.0923,0.319,0.0923,0.1423,0.1109,0.1192,0.1191
