Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0.75,0.825,0.75,0.7,0.7222,0.6842,0.6905
0.9091,0.0,0.9091,0.8364,0.8687,0.8764,0.8873
0.7273,0.0,0.7273,0.6727,0.697,0.6292,0.637
0.6364,0.0,0.6364,0.5636,0.5758,0.5769,0.6825
0.6364,0.0,0.6364,0.6515,0.632,0.5417,0.5533
0.7273,0.0,0.7273,0.9318,0.7273,0.6796,0.7447
0.8182,0.0,0.8182,0.8182,0.8182,0.766,0.766
0.6364,0.0,0.6364,0.5818,0.6061,0.5217,0.5278
0.7273,0.0,0.7273,0.7182,0.697,0.6413,0.6562
0.7273,0.8194,0.7273,0.6818,0.7013,0.6633,0.6704
0.7295,0.1644,0.7295,0.7156,0.7045,0.658,0.6816
0.0816,0.3289,0.0816,0.1096,0.0851,0.1002,0.0982
