Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0.5,0.6932,0.5,0.5833,0.5333,0.3793,0.3894
0.9091,0.0,0.9091,0.9273,0.899,0.8804,0.8906
0.9091,0.0,0.9091,0.9545,0.9177,0.8866,0.896
0.7273,0.0,0.7273,0.5455,0.6182,0.6292,0.6714
0.8182,0.0,0.8182,0.7455,0.7778,0.766,0.7916
0.7273,0.0,0.7273,0.7273,0.7273,0.6526,0.6596
0.9091,0.0,0.9091,0.9273,0.899,0.8804,0.8906
0.5455,0.0,0.5455,0.5076,0.4913,0.433,0.4616
0.9091,0.0,0.9091,0.8364,0.8687,0.8764,0.8873
0.6364,0.775,0.6364,0.6364,0.6165,0.551,0.5626
0.7591,0.1468,0.7591,0.7391,0.7349,0.6935,0.7101
0.1494,0.2942,0.1494,0.159,0.1532,0.184,0.1812
