Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0.6667,0.767,0.6667,0.625,0.6167,0.5752,0.6035
0.6364,0.0,0.6364,0.697,0.6623,0.551,0.557
0.6364,0.0,0.6364,0.6515,0.632,0.5368,0.5545
0.6364,0.0,0.6364,0.6364,0.6364,0.5464,0.5521
0.9091,0.0,0.9091,0.8364,0.8687,0.8764,0.8873
0.6364,0.0,0.6364,0.6061,0.6017,0.5368,0.5484
0.9091,0.0,0.9091,0.9545,0.9177,0.8842,0.8938
0.7273,0.0,0.7273,0.6727,0.697,0.6374,0.6451
0.7273,0.0,0.7273,0.7273,0.7169,0.6562,0.6632
0.5455,0.6802,0.5455,0.3939,0.4545,0.382,0.4034
0.703,0.1447,0.703,0.6801,0.6804,0.6183,0.6308
0.114,0.2901,0.114,0.1398,0.1262,0.1483,0.1459
