Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0.75,0.8636,0.75,0.8333,0.7635,0.6975,0.7096
0.8182,0.0,0.8182,0.7727,0.7879,0.7609,0.7693
0.8182,0.0,0.8182,0.9394,0.8333,0.7755,0.8087
0.5455,0.0,0.5455,0.4485,0.4798,0.4086,0.4328
0.7273,0.0,0.7273,0.8788,0.7697,0.67,0.6911
0.7273,0.0,0.7273,0.6818,0.697,0.6598,0.6809
0.7273,0.0,0.7273,0.6623,0.6584,0.6163,0.6729
0.7273,0.0,0.7273,0.803,0.7299,0.6598,0.6737
0.7273,0.0,0.7273,0.7576,0.7121,0.6526,0.6741
0.7273,0.825,0.7273,0.5909,0.6494,0.6489,0.6645
0.7295,0.1689,0.7295,0.7368,0.7081,0.655,0.6777
0.0707,0.3378,0.0707,0.1377,0.0936,0.0949,0.0932
