Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0.6667,0.7841,0.6667,0.6167,0.6111,0.5789,0.5952
0.8182,0.0,0.8182,0.697,0.7455,0.7556,0.7941
0.8182,0.0,0.8182,0.9394,0.8424,0.78,0.8045
0.6364,0.0,0.6364,0.6364,0.6364,0.5319,0.5319
0.6364,0.0,0.6364,0.5818,0.6061,0.5269,0.5388
0.7273,0.0,0.7273,0.6818,0.697,0.6413,0.6484
0.8182,0.0,0.8182,0.7727,0.7879,0.7609,0.7693
0.7273,0.0,0.7273,0.6727,0.697,0.6292,0.637
0.6364,0.0,0.6364,0.6364,0.6169,0.5368,0.5543
0.7273,0.8444,0.7273,0.6667,0.6909,0.6667,0.6736
0.7212,0.1629,0.7212,0.6902,0.6931,0.6408,0.6547
0.0727,0.326,0.0727,0.0964,0.0758,0.0934,0.0989
