Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0.5833,0.7727,0.5833,0.75,0.6524,0.4958,0.5131
0.7273,0.0,0.7273,0.8636,0.7576,0.6667,0.6881
0.7273,0.0,0.7273,0.7424,0.7229,0.6526,0.6597
0.9091,0.0,0.9091,0.8364,0.8687,0.8764,0.8873
0.7273,0.0,0.7273,0.7576,0.7351,0.6562,0.6632
0.8182,0.0,0.8182,0.7879,0.7844,0.7684,0.785
0.7273,0.0,0.7273,0.6727,0.697,0.6489,0.6707
0.4545,0.0,0.4545,0.3939,0.4069,0.3053,0.3189
0.6364,0.0,0.6364,0.6364,0.626,0.5417,0.5532
0.6364,0.7694,0.6364,0.4667,0.5318,0.5368,0.5632
0.6947,0.1542,0.6947,0.6908,0.6783,0.6149,0.6302
0.1193,0.3084,0.1193,0.1459,0.1256,0.1485,0.1477
