Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0.5833,0.0,0.5833,0.55,0.5648,0.4595,0.4681
0.6364,0.0,0.6364,0.7879,0.6987,0.551,0.563
0.7273,0.0,0.7273,0.8409,0.7333,0.6633,0.7143
0.7273,0.8375,0.7273,0.7803,0.6883,0.67,0.7056
0.7273,0.8071,0.7273,0.6727,0.697,0.6452,0.6528
0.7273,0.85,0.7273,0.7576,0.7208,0.6667,0.6875
0.7273,0.8071,0.7273,0.6727,0.697,0.6452,0.6528
0.7273,0.0,0.7273,0.9091,0.7879,0.6562,0.6704
0.6364,0.0,0.6364,0.697,0.6571,0.551,0.5746
0.5455,0.0,0.5455,0.6364,0.5758,0.4271,0.4316
0.6765,0.3302,0.6765,0.7305,0.6821,0.5935,0.6121
0.0667,0.4046,0.0667,0.0999,0.0646,0.0864,0.0942
