Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0.8333,0.0,0.8333,0.7222,0.7667,0.7778,0.8101
0.7273,0.0,0.7273,0.7879,0.7229,0.6489,0.6632
0.8182,0.0,0.8182,0.8182,0.8182,0.7556,0.7556
0.6364,0.7875,0.6364,0.6364,0.6364,0.551,0.5687
0.6364,0.7357,0.6364,0.5,0.5515,0.5111,0.5385
0.7273,0.8286,0.7273,0.6818,0.697,0.6562,0.6632
0.7273,0.8286,0.7273,0.7273,0.7078,0.6667,0.6875
0.7273,0.0,0.7273,0.6818,0.697,0.6598,0.6809
0.7273,0.0,0.7273,0.7273,0.7169,0.6562,0.6632
0.7273,0.0,0.7273,0.6667,0.6909,0.6452,0.6523
0.7288,0.318,0.7288,0.6949,0.7005,0.6529,0.6683
0.06,0.3903,0.06,0.0832,0.0674,0.0755,0.0744
