Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0.6667,0.774,0.6667,0.5542,0.6032,0.5596,0.5713
0.6364,0.0,0.6364,0.6364,0.6364,0.5111,0.5111
0.6364,0.0,0.6364,0.6364,0.6364,0.5319,0.5556
0.4545,0.0,0.4545,0.4545,0.4545,0.3265,0.3299
0.5455,0.0,0.5455,0.5,0.5152,0.433,0.4468
0.6364,0.0,0.6364,0.803,0.6606,0.56,0.5835
0.8182,0.0,0.8182,0.9394,0.8333,0.78,0.8127
0.7273,0.8286,0.7273,0.6818,0.697,0.6562,0.6632
0.8182,0.9,0.8182,0.9394,0.8333,0.7843,0.8165
0.5455,0.7071,0.5455,0.5364,0.5152,0.4149,0.4243
0.6485,0.321,0.6485,0.6681,0.6385,0.5558,0.5715
0.1111,0.3957,0.1111,0.1649,0.1206,0.1424,0.1504
