Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0.5,0.7001,0.5,0.5278,0.4861,0.4,0.4139
0.7273,0.0,0.7273,0.9394,0.7364,0.6765,0.7267
0.7273,0.0,0.7273,0.8939,0.7061,0.6733,0.7236
0.8182,0.0,0.8182,0.7727,0.7879,0.7609,0.7693
0.6364,0.0,0.6364,0.5303,0.5697,0.5417,0.5654
0.8182,0.0,0.8182,0.697,0.7455,0.7556,0.7941
0.7273,0.0,0.7273,0.8182,0.7273,0.6667,0.7021
0.8182,0.0,0.8182,0.75,0.7792,0.7708,0.7793
0.8182,0.0,0.8182,0.697,0.7455,0.75,0.7809
0.3636,0.6286,0.3636,0.5455,0.4242,0.2524,0.2654
0.6955,0.1329,0.6955,0.7172,0.6708,0.6248,0.6521
0.1467,0.2662,0.1467,0.14,0.1227,0.166,0.1714
