Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0.6667,0.0,0.6667,0.6806,0.6627,0.5826,0.5929
0.9091,0.0,0.9091,0.8364,0.8687,0.8764,0.8873
0.9091,0.0,0.9091,0.8364,0.8687,0.8764,0.8873
0.7273,0.0,0.7273,0.6727,0.697,0.6413,0.6487
0.7273,0.0,0.7273,0.6273,0.6667,0.6452,0.6673
0.7273,0.0,0.7273,0.6061,0.6545,0.6374,0.6774
0.6364,0.0,0.6364,0.6273,0.6061,0.5269,0.5388
0.5455,0.7071,0.5455,0.5076,0.5039,0.4444,0.4734
0.7273,0.85,0.7273,0.75,0.7117,0.6667,0.71
0.5455,0.0,0.5455,0.6545,0.5667,0.4211,0.4402
0.7121,0.1557,0.7121,0.6799,0.6807,0.6318,0.6523
0.1191,0.3131,0.1191,0.0976,0.1109,0.1463,0.1442
