Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0.75,0.8365,0.75,0.6458,0.6865,0.6786,0.6914
0.9091,0.0,0.9091,0.8364,0.8687,0.8764,0.8873
0.8182,0.0,0.8182,0.7045,0.7489,0.7556,0.7735
0.7273,0.0,0.7273,0.7576,0.7121,0.6526,0.6741
0.6364,0.0,0.6364,0.4848,0.5455,0.5056,0.5396
0.6364,0.0,0.6364,0.697,0.6485,0.56,0.5776
0.8182,0.0,0.8182,0.697,0.7455,0.7556,0.7941
0.9091,0.0,0.9091,0.9394,0.9117,0.8854,0.8948
0.8182,0.0,0.8182,0.8182,0.8182,0.766,0.766
0.7273,0.825,0.7273,0.7091,0.6955,0.6562,0.6784
0.775,0.1661,0.775,0.729,0.7381,0.7092,0.7277
0.0923,0.3323,0.0923,0.1158,0.102,0.1171,0.1122
