Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0.75,0.8466,0.75,0.8056,0.7738,0.6975,0.7035
0.6364,0.775,0.6364,0.6364,0.6364,0.551,0.5567
0.7273,0.0,0.7273,0.7727,0.7333,0.6526,0.6667
0.7273,0.0,0.7273,0.6727,0.697,0.6292,0.637
0.8182,0.0,0.8182,0.7879,0.7818,0.75,0.7791
0.8182,0.0,0.8182,0.8182,0.8182,0.766,0.766
0.6364,0.0,0.6364,0.697,0.6623,0.551,0.557
0.4545,0.0,0.4545,0.4242,0.4221,0.3333,0.3474
0.6364,0.0,0.6364,0.5455,0.5818,0.5056,0.5255
1.0,0.0,1.0,1.0,1.0,1.0,1.0
0.7205,0.1622,0.7205,0.716,0.7107,0.6436,0.6539
0.1379,0.3247,0.1379,0.1518,0.1459,0.17,0.1674
