Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0.75,0.8466,0.75,0.6667,0.6944,0.6842,0.6965
0.6364,0.0,0.6364,0.6364,0.6364,0.5269,0.5385
0.5455,0.0,0.5455,0.6364,0.5818,0.4211,0.4256
0.9091,0.0,0.9091,0.9545,0.9177,0.8866,0.896
0.7273,0.0,0.7273,0.8788,0.7,0.6765,0.7264
0.6364,0.0,0.6364,0.8182,0.6273,0.5686,0.6106
0.7273,0.0,0.7273,0.5606,0.6242,0.6333,0.6744
0.6364,0.0,0.6364,0.5758,0.6,0.5368,0.5484
0.9091,0.0,0.9091,0.9394,0.9117,0.8854,0.8948
0.7273,0.825,0.7273,0.6818,0.7013,0.6562,0.6635
0.7205,0.1672,0.7205,0.7348,0.6995,0.6476,0.6675
0.1114,0.3344,0.1114,0.1415,0.1146,0.1416,0.1417
