Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0.5,0.667,0.5,0.3417,0.3981,0.3628,0.3845
0.7273,0.0,0.7273,0.697,0.7091,0.6452,0.6523
0.7273,0.0,0.7273,0.7273,0.7273,0.6489,0.6489
0.6364,0.7625,0.6364,0.6545,0.6212,0.5464,0.565
0.7273,0.0,0.7273,0.7879,0.7152,0.6333,0.6573
0.8182,0.0,0.8182,0.9091,0.8182,0.7755,0.8004
0.7273,0.0,0.7273,0.7879,0.7532,0.6562,0.6635
0.8182,0.0,0.8182,0.8182,0.8182,0.7609,0.7609
0.6364,0.0,0.6364,0.7273,0.6727,0.5368,0.5427
0.7273,0.0,0.7273,0.7576,0.6909,0.6598,0.6958
0.7045,0.143,0.7045,0.7208,0.6924,0.6226,0.6371
0.0892,0.2867,0.0892,0.1429,0.1138,0.1127,0.1117
