Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0.6667,0.774,0.6667,0.5625,0.6032,0.5714,0.5822
0.9091,0.0,0.9091,0.9545,0.9152,0.883,0.8925
0.6364,0.0,0.6364,0.7727,0.6727,0.5686,0.5987
0.9091,0.0,0.9091,0.8636,0.8788,0.8804,0.8902
0.8182,0.0,0.8182,0.7455,0.7778,0.7609,0.7785
0.6364,0.0,0.6364,0.7091,0.6288,0.5464,0.5707
0.6364,0.0,0.6364,0.7273,0.6667,0.551,0.5685
0.7273,0.0,0.7273,0.7576,0.7212,0.6526,0.6667
0.6364,0.0,0.6364,0.5818,0.6061,0.5165,0.5227
0.7273,0.8071,0.7273,0.6727,0.697,0.6452,0.6528
0.7303,0.1581,0.7303,0.7347,0.7167,0.6576,0.6724
0.1054,0.3163,0.1054,0.1116,0.1035,0.1305,0.1283
