Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0.8333,0.0,0.8333,0.9167,0.869,0.7931,0.8003
0.6364,0.7357,0.6364,0.5455,0.5818,0.5111,0.5316
0.6364,0.7516,0.6364,0.5212,0.5697,0.5217,0.5345
0.6364,0.7786,0.6364,0.6061,0.6017,0.5556,0.567
0.5455,0.723,0.5455,0.5455,0.5351,0.4388,0.4479
0.9091,0.0,0.9091,0.8364,0.8687,0.8791,0.8898
1.0,0.0,1.0,1.0,1.0,1.0,1.0
0.8182,0.0,0.8182,1.0,0.8848,0.7684,0.7937
0.8182,0.0,0.8182,0.9091,0.8485,0.7609,0.7693
0.7273,0.0,0.7273,0.7273,0.7152,0.6633,0.6701
0.7561,0.2989,0.7561,0.7608,0.7475,0.6892,0.7004
0.1359,0.3663,0.1359,0.1848,0.1577,0.172,0.1696
