Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0.6667,0.8182,0.6667,0.7778,0.6583,0.6066,0.638
0.9091,0.0,0.9091,0.8485,0.8727,0.8817,0.8915
0.9091,0.0,0.9091,0.8364,0.8687,0.8791,0.8898
0.8182,0.0,0.8182,0.7879,0.7758,0.7528,0.7825
0.8182,0.0,0.8182,0.7727,0.7879,0.7732,0.7979
0.7273,0.0,0.7273,0.8,0.71,0.6598,0.7118
0.5455,0.0,0.5455,0.5,0.5048,0.4149,0.4338
0.7273,0.0,0.7273,0.7273,0.7273,0.6413,0.6413
0.8182,0.0,0.8182,0.7455,0.7778,0.7528,0.7622
0.5455,0.725,0.5455,0.5909,0.5558,0.4388,0.448
0.7485,0.1543,0.7485,0.7387,0.7239,0.6801,0.6997
0.125,0.3093,0.125,0.1046,0.1156,0.1534,0.1532
