Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0.5833,0.7341,0.5833,0.4444,0.4944,0.4872,0.5046
0.7273,0.0,0.7273,0.7273,0.7078,0.6598,0.6809
0.7273,0.0,0.7273,0.7273,0.7078,0.6598,0.6809
0.7273,0.0,0.7273,0.7636,0.7333,0.6413,0.6557
0.8182,0.0,0.8182,0.8636,0.8268,0.7708,0.7874
0.8182,0.0,0.8182,0.697,0.7455,0.7442,0.7757
0.5455,0.0,0.5455,0.6364,0.5818,0.4271,0.4409
0.7273,0.0,0.7273,0.8909,0.7403,0.6633,0.7147
0.4545,0.0,0.4545,0.3788,0.4009,0.3125,0.3191
0.5455,0.7264,0.5455,0.5,0.503,0.4608,0.47
0.6674,0.146,0.6674,0.6629,0.6442,0.5827,0.603
0.1191,0.2921,0.1191,0.1636,0.132,0.143,0.1501
